   BENCHMARK INFORMATION
benchmark definition:    cpachecker4av-goblint-regression.xml
name:                    cpachecker4av-goblint-regression
run sets:                select-points.goblint-regression, all-points.goblint-regression
date:                    Fri, 2022-08-26 10:12:29 CST
tool:                    CPAchecker 2.0
tool executable:         scripts/cpa.sh
options:                 -heap 4096M -benchmark -timelimit 300s
parallel runs:           2
resource limits:
- memory:                4000.0 MB
- time:                  300 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    YangTian
os:                      Linux-5.15.0-46-generic-x86_64-with-glibc2.29
cpu:                     Intel Core i7-8700 CPU @ 3.20GHz
- cores:                 12
- max frequency:         4600.0 MHz
- turbo boost enabled:   True
ram:                     33539.833856 MB
------------------------------------------------------------



select-points.goblint-regression
Run set 1 of 2 with options '-heap 4096M -benchmark -timelimit 300s -config ./config/myAnalysis-concurrent-interrupt-benchmark-goblint-regression.properties' and propertyfile 'None'

inputfile                 status                       cpu time   wall time        host
svp_simple_634_001.yml    false(unreach-call)              2.68        2.69        None
svp_simple_636_001.yml    true                             2.76        2.77        None
svp_simple_637_001.yml    true                             2.84        2.85        None
svp_simple_638_001.yml    true                             2.78        2.79        None
svp_simple_639_001.yml    true                             2.99        2.99        None
svp_simple_640_001.yml    true                             3.09        3.10        None
svp_simple_641_001.yml    true                             3.04        3.05        None
svp_simple_669_001.yml    true                             3.24        3.25        None
svp_simple_670_001.yml    true                             3.13        3.13        None
svp_simple_696_001.yml    false(unreach-call)              2.81        2.82        None
svp_simple_697_001.yml    true                             2.87        2.87        None
svp_simple_698_001.yml    false(unreach-call)              2.77        2.79        None
svp_simple_699_001.yml    false(unreach-call)              2.81        2.82        None
svp_simple_700_001.yml    false(unreach-call)              3.01        3.02        None
svp_simple_701_001.yml    false(unreach-call)              3.03        3.03        None
svp_simple_702_001.yml    false(unreach-call)              3.04        3.04        None
svp_simple_703_001.yml    false(unreach-call)              2.63        2.63        None
svp_simple_704_001.yml    false(unreach-call)              2.61        2.62        None
---------------------------------------------------------------------------------------
Run set 2                 done                           261.56      139.70           -

Statistics:            178 Files
  correct:               0
    correct true:        0
    correct false:       0
  incorrect:             0
    incorrect true:      0
    incorrect false:     0
  unknown:               0
  Score:                 0 (max: 0)
