tool	CPAchecker 2.0	CPAchecker 2.0	CPAchecker 2.0	CPAchecker 2.0	CPAchecker 2.0	CPAchecker 2.0	CPAchecker 2.0	CPAchecker 2.0
run set	all-points.goblint-regression	all-points.goblint-regression	all-points.goblint-regression	all-points.goblint-regression	select-points.goblint-regression	select-points.goblint-regression	select-points.goblint-regression	select-points.goblint-regression
../test/svcomp-benchmarks/goblint-regression_interrupt/goblint-regression_interrupt/	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
svp_simple_634_001.yml	false(unreach-call)	2.68071672	2.689924309961498	115.462144	false(unreach-call)	2.769959003	2.7775162688922137	110.587904
svp_simple_636_001.yml	true	2.763682975	2.767478932044469	110.071808	true	2.744497027	2.7510821389732882	109.858816
svp_simple_637_001.yml	true	2.83632904	2.8502130180131644	113.401856	true	2.741876688	2.745765234925784	111.493120
svp_simple_638_001.yml	true	2.776025055	2.789177264086902	110.379008	true	2.732120152	2.741498918971047	113.610752
svp_simple_639_001.yml	true	2.988856359	2.99288538901601	120.852480	true	3.128712794	3.142703737015836	117.022720
svp_simple_640_001.yml	true	3.093239599	3.0973039700184017	116.641792	true	3.099948446	3.1041279109194875	116.219904
svp_simple_641_001.yml	true	3.035287809	3.049328343011439	116.547584	true	3.128574402	3.1326578069711104	116.080640
svp_simple_669_001.yml	true	3.237496444	3.2508706039516255	119.660544	true	3.048401515	3.0620446130633354	117.288960
svp_simple_670_001.yml	true	3.130514466	3.134540169965476	118.841344	true	3.063116009	3.0672084279358387	116.789248
svp_simple_696_001.yml	false(unreach-call)	2.81179181	2.8158609519014135	112.021504	false(unreach-call)	2.658172404	2.6702424789546058	110.170112
svp_simple_697_001.yml	true	2.866918118	2.8708856189623475	111.050752	true	2.650282346	2.654547185986303	109.817856
svp_simple_698_001.yml	false(unreach-call)	2.772210746	2.7858536220155656	110.784512	false(unreach-call)	2.673311184	2.677280287956819	110.645248
svp_simple_699_001.yml	false(unreach-call)	2.805760012	2.819308978971094	111.529984	false(unreach-call)	2.784519214	2.794871855992824	113.725440
svp_simple_700_001.yml	false(unreach-call)	3.011350496	3.0246867660898715	120.008704	false(unreach-call)	2.765494969	2.769619351020083	115.355648
svp_simple_701_001.yml	false(unreach-call)	3.027414245	3.0331878809956834	119.160832	false(unreach-call)	2.829328992	2.8417746940394863	115.118080
svp_simple_702_001.yml	false(unreach-call)	3.035616516	3.039524805964902	118.292480	false(unreach-call)	3.01747044	3.02163675497286	118.247424
svp_simple_703_001.yml	false(unreach-call)	2.626789571	2.6345371060306206	110.452736	false(unreach-call)	2.582130866	2.586146272951737	109.600768
svp_simple_704_001.yml	false(unreach-call)	2.61170695	2.6222919130232185	110.858240	false(unreach-call)	2.645943162	2.6568369609303772	109.424640
