tool	CPAchecker 2.0	CPAchecker 2.0	CPAchecker 2.0	CPAchecker 2.0
run set	logger.select-points	logger.select-points	logger.select-points	logger.select-points
test/logger/	status	cputime (s)	walltime (s)	memory (MB)
svp_simple_001_001.yml	true	4.1265741	4.430003875007969	219.193344
svp_simple_002_001.yml	true	3.2277375	3.2341591410076944	172.523520
svp_simple_003_001.yml	true	7.5433253	7.550313696003286	446.873600
svp_simple_004_001.yml	true	4.3872529	4.424415145011153	244.936704
svp_simple_005_001.yml	true	23.7125926	23.73323321400676	2564.157440
svp_simple_006_001.yml	KILLED BY SIGNAL 9	240.6902021	905.5586183490086	9638.662144
svp_simple_007_001.yml	true	9.3113892	10.161493153005722	486.019072
svp_simple_008_001.yml	true	29.5840652	29.9214580150001	1569.243136
svp_simple_009_001.yml	KILLED BY SIGNAL 9	633.9391924	1514.8905680780008	9792.196608
svp_simple_010_001.yml	true	3.4044767	3.989686435990734	243.830784
svp_simple_011_001.yml	true	3.6381548	3.820530972996494	205.705216
svp_simple_012_001.yml	true	4.1277636	4.304264893988147	211.050496
svp_simple_013_001.yml	true	4.7676018	4.947045993001666	240.541696
svp_simple_014_001.yml	true	12.1585025	12.30423917999724	719.294464
svp_simple_015_001.yml	true	16.6176399	16.68168624599639	824.832000
svp_simple_016_001.yml	true	2.5856657	2.6381015069928253	168.189952
svp_simple_017_001.yml	true	3.2484628	3.279600809008116	184.197120
svp_simple_018_001.yml	true	3.2924394	3.2986260579928057	189.095936
svp_simple_019_001.yml	true	2.4467522	2.4546210109983804	168.677376
svp_simple_020_001.yml	true	2.4542295	2.4631027889990946	168.849408
svp_simple_021_001.yml	true	3.7584654	3.7674451019993285	212.283392
svp_simple_022_001.yml	true	3.1570299	3.173336047999328	175.706112
svp_simple_023_001.yml	true	13.0219037	13.02940304799995	657.727488
